"MCLX01000029.1 Pseudomonas aeruginosa 39016 IPC1264_29.1, whole genome shotgun sequence"
"NSQE01000026.1 Pseudomonas aeruginosa strain LiP2c IPC1073_26.1, whole genome shotgun sequence"
"NSQF01000024.1 Pseudomonas aeruginosa strain LiP2b IPC1072_24.1, whole genome shotgun sequence"
"NSQG01000021.1 Pseudomonas aeruginosa strain LiP2a IPC1071_21.1, whole genome shotgun sequence"
"NSQJ01000024.1 Pseudomonas aeruginosa strain LiP1a IPC1067_24.1, whole genome shotgun sequence"
"NSQI01000024.1 Pseudomonas aeruginosa strain LiP1c IPC1069_24.1, whole genome shotgun sequence"
"NSQH01000032.1 Pseudomonas aeruginosa strain LiP1d IPC1070_32.1, whole genome shotgun sequence"
"NSQX01000028.1 Pseudomonas aeruginosa strain 014-2A IPC1020_28.1, whole genome shotgun sequence"
"NSRU01000026.1 Pseudomonas aeruginosa strain U421 IPC965_26.1, whole genome shotgun sequence"
"NSSP01000019.1 Pseudomonas aeruginosa strain Tu863 IPC884_19.1, whole genome shotgun sequence"
"NSSS01000024.1 Pseudomonas aeruginosa strain Lw1047 IPC879_24.1, whole genome shotgun sequence"
"NSTK01000024.1 Pseudomonas aeruginosa strain LiA133_2003 IPC776_24.1, whole genome shotgun sequence"
"NSTR01000042.1 Pseudomonas aeruginosa strain J80UH1OS1 IPC744_42.1, whole genome shotgun sequence"
"NSTX01000047.1 Pseudomonas aeruginosa strain CPHL8203 IPC734_47.1, whole genome shotgun sequence"
"NSUB01000019.1 Pseudomonas aeruginosa strain CPHL2000 IPC729_19.1, whole genome shotgun sequence"
"NSUM01000016.1 Pseudomonas aeruginosa strain CN573=PSE143 IPC705_16.1, whole genome shotgun sequence"
"NSUQ01000031.1 Pseudomonas aeruginosa strain Mex2 IPC698_31.1, whole genome shotgun sequence"
"NSVU01000018.1 Pseudomonas aeruginosa strain AMT0005-1 IPC539_18.1, whole genome shotgun sequence"
"NSYI01000019.1 Pseudomonas aeruginosa strain AUS327 IPC300_19.1, whole genome shotgun sequence"
"NSZX01000024.1 Pseudomonas aeruginosa strain 152504sp2 IPC103_24.1, whole genome shotgun sequence"
"NTAD01000032.1 Pseudomonas aeruginosa strain 856 IPC97_32.1, whole genome shotgun sequence"
"RWZR01000026.1 Pseudomonas aeruginosa strain Zw73_1 IPC1439_26.1, whole genome shotgun sequence"
"RXAL01000026.1 Pseudomonas aeruginosa strain HCF86 IPC1408_26.1, whole genome shotgun sequence"
"RXAS01000027.1 Pseudomonas aeruginosa strain Zw9 IPC1389_27.1, whole genome shotgun sequence"
"RXBV01000016.1 Pseudomonas aeruginosa strain JYH13 IPC1224_16.1, whole genome shotgun sequence"
"RXCH01000018.1 Pseudomonas aeruginosa strain T3382 IPC1132_18.1, whole genome shotgun sequence"
"RXCW01000040.1 Pseudomonas aeruginosa strain Jp1303 IPC762_40.1, whole genome shotgun sequence"
"RXDS01000023.1 Pseudomonas aeruginosa strain AUS727 IPC517_23.1, whole genome shotgun sequence"
"RXEB01000018.1 Pseudomonas aeruginosa strain AUS505 IPC445_18.1, whole genome shotgun sequence"
"RXDY01000019.1 Pseudomonas aeruginosa strain AUS512 IPC449_19.1, whole genome shotgun sequence"
"RXED01000044.1 Pseudomonas aeruginosa strain AUS500 IPC443_44.1, whole genome shotgun sequence"
"RXEG01000005.1 Pseudomonas aeruginosa strain AUS177 IPC414_5.1, whole genome shotgun sequence"
"RXEI01000025.1 Pseudomonas aeruginosa strain AUS175 IPC412_25.1, whole genome shotgun sequence"
"RXEW01000028.1 Pseudomonas aeruginosa strain AUS110 IPC357_28.1, whole genome shotgun sequence"
"RXFE01000030.1 Pseudomonas aeruginosa strain AUS226 IPC252_30.1, whole genome shotgun sequence"
"RWLN01000035.1 Pseudomonas aeruginosa strain 8 IPC1590_35.1, whole genome shotgun sequence"
"RWLY01000017.1 Pseudomonas aeruginosa strain 4104355315 IPC1520_17.1, whole genome shotgun sequence"
"RWMA01000059.1 Pseudomonas aeruginosa strain 5054408345 IPC1518_59.1, whole genome shotgun sequence"
"RWMG01000009.1 Pseudomonas aeruginosa strain 5024382738-26 IPC1512_9.1, whole genome shotgun sequence"
"RWOA01000029.1 Pseudomonas aeruginosa strain 6088 IPC1335_29.1, whole genome shotgun sequence"
"RWOD01000019.1 Pseudomonas aeruginosa strain 6086.1 IPC1332_19.1, whole genome shotgun sequence"
"RWPC01000021.1 Pseudomonas aeruginosa strain 5987 IPC1307_21.1, whole genome shotgun sequence"
"RWTK01000013.1 Pseudomonas aeruginosa strain PAC61A IPC115_13.1, whole genome shotgun sequence"
"RWTM01000014.1 Pseudomonas aeruginosa strain PAC5B IPC113_14.1, whole genome shotgun sequence"
"RWTL01000016.1 Pseudomonas aeruginosa strain PAC46A IPC114_16.1, whole genome shotgun sequence"
"RWUW01000023.1 Pseudomonas aeruginosa strain 145S200511BSL_PA2 IPC40_23.1, whole genome shotgun sequence"
"NSST01000048.1 Pseudomonas aeruginosa strain LMG5031 IPC878_48.1, whole genome shotgun sequence"
"NSXA01000026.1 Pseudomonas aeruginosa strain AUS483 IPC434_26.1, whole genome shotgun sequence"
"NSZD01000026.1 Pseudomonas aeruginosa strain AUS217 IPC241_26.1, whole genome shotgun sequence"
"RXCE01000028.1 Pseudomonas aeruginosa strain T3677 IPC1136_28.1, whole genome shotgun sequence"
