"MVGX01000007.1 Pseudomonas aeruginosa strain ATCC BAA-2110 IPC1578_7.1, whole genome shotgun sequence"
"NTAD01000021.1 Pseudomonas aeruginosa strain 856 IPC97_21.1, whole genome shotgun sequence"
"RWZR01000005.1 Pseudomonas aeruginosa strain Zw73_1 IPC1439_5.1, whole genome shotgun sequence"
"RWLN01000022.1 Pseudomonas aeruginosa strain 8 IPC1590_22.1, whole genome shotgun sequence"
"NTAR01000026.1 Pseudomonas aeruginosa strain PA-W20 IPC13_26.1, whole genome shotgun sequence"
"RXCM01000009.1 Pseudomonas aeruginosa strain P2404 IPC1110_9.1, whole genome shotgun sequence"
"NSZD01000002.1 Pseudomonas aeruginosa strain AUS217 IPC241_2.1, whole genome shotgun sequence"
"NSST01000001.1 Pseudomonas aeruginosa strain LMG5031 IPC878_1.1, whole genome shotgun sequence"
"NSXA01000004.1 Pseudomonas aeruginosa strain AUS483 IPC434_4.1, whole genome shotgun sequence"
"NSNE01000066.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_66.1, whole genome shotgun sequence"
"NSNE01000002.1 Pseudomonas aeruginosa strain PA-W36 IPC1295_2.1, whole genome shotgun sequence"
"NTAR01000038.1 Pseudomonas aeruginosa strain PA-W20 IPC13_38.1, whole genome shotgun sequence"
"RXCM01000032.1 Pseudomonas aeruginosa strain P2404 IPC1110_32.1, whole genome shotgun sequence"
