"NSSG01000028.1 Pseudomonas aeruginosa strain S1983 IPC908_28.1, whole genome shotgun sequence"
"RWSB01000009.1 Pseudomonas aeruginosa strain PAC94A IPC152_9.1, whole genome shotgun sequence"
"NSOX01000024.1 Pseudomonas aeruginosa strain D9 3362 IPC1164_24.1, whole genome shotgun sequence"
"MCLX01000010.1 Pseudomonas aeruginosa 39016 IPC1264_10.1, whole genome shotgun sequence"
"MCMR01000005.1 Pseudomonas aeruginosa strain E42A(B) isolate LMG14084 IPC92_5.1, whole genome shotgun sequence"
"NSNG01000001.1 Pseudomonas aeruginosa strain PA-W32 IPC1293_1.1, whole genome shotgun sequence"
"NSOQ01000001.1 Pseudomonas aeruginosa strain U2504 IPC1182_1.1, whole genome shotgun sequence"
"NSOS01000010.1 Pseudomonas aeruginosa strain JJ692 IPC1177_10.1, whole genome shotgun sequence"
"NSPJ01000001.1 Pseudomonas aeruginosa strain C8(T3532) IPC1145_1.1, whole genome shotgun sequence"
"NSQQ01000004.1 Pseudomonas aeruginosa strain B2 IPC1040_4.1, whole genome shotgun sequence"
"NSRD01000007.1 Pseudomonas aeruginosa strain DUN-006 IPC1005_7.1, whole genome shotgun sequence"
"NSSO01000002.1 Pseudomonas aeruginosa strain TuD199 IPC885_2.1, whole genome shotgun sequence"
"NSTO01000002.1 Pseudomonas aeruginosa strain Jp224 IPC752_2.1, whole genome shotgun sequence"
"NSTM01000007.1 Pseudomonas aeruginosa strain Jp1140 IPC757_7.1, whole genome shotgun sequence"
"NSTV01000012.1 Pseudomonas aeruginosa strain CPHL10662 IPC737_12.1, whole genome shotgun sequence"
"NSUF01000006.1 Pseudomonas aeruginosa strain IDEXX_Canine4 IPC723_6.1, whole genome shotgun sequence"
"NSUL01000025.1 Pseudomonas aeruginosa strain CND03 IPC706_25.1, whole genome shotgun sequence"
"NSUV01000010.1 Pseudomonas aeruginosa strain A15 IPC692_10.1, whole genome shotgun sequence"
"NSUZ01000009.1 Pseudomonas aeruginosa strain A9 IPC688_9.1, whole genome shotgun sequence"
"NSVO01000006.1 Pseudomonas aeruginosa strain AMT0026-3 IPC555_6.1, whole genome shotgun sequence"
"NSYN01000007.1 Pseudomonas aeruginosa strain AUS321 IPC289_7.1, whole genome shotgun sequence"
"NSZN01000010.1 Pseudomonas aeruginosa strain AUS186 IPC205_10.1, whole genome shotgun sequence"
"NSZX01000002.1 Pseudomonas aeruginosa strain 152504sp2 IPC103_2.1, whole genome shotgun sequence"
"NTBB01000025.1 Pseudomonas aeruginosa strain PA-W7 IPC3_25.1, whole genome shotgun sequence"
"NSPQ01000001.1 Pseudomonas aeruginosa strain B1(P2356) IPC1107_1.1, whole genome shotgun sequence"
"NSPI01000001.1 Pseudomonas aeruginosa strain C9(P1814) IPC1147_1.1, whole genome shotgun sequence"
"RXAL01000012.1 Pseudomonas aeruginosa strain HCF86 IPC1408_12.1, whole genome shotgun sequence"
"RXAS01000009.1 Pseudomonas aeruginosa strain Zw9 IPC1389_9.1, whole genome shotgun sequence"
"RXBW01000005.1 Pseudomonas aeruginosa strain JYH11 IPC1222_5.1, whole genome shotgun sequence"
"RXCX01000008.1 Pseudomonas aeruginosa strain Jp1206 IPC761_8.1, whole genome shotgun sequence"
"RXCW01000006.1 Pseudomonas aeruginosa strain Jp1303 IPC762_6.1, whole genome shotgun sequence"
"RXDA01000009.1 Pseudomonas aeruginosa strain Jp1155 IPC758_9.1, whole genome shotgun sequence"
"RXCZ01000010.1 Pseudomonas aeruginosa strain Jp1170 IPC759_10.1, whole genome shotgun sequence"
"RXCY01000009.1 Pseudomonas aeruginosa strain Jp1200 IPC760_9.1, whole genome shotgun sequence"
"RXDJ01000010.1 Pseudomonas aeruginosa strain AMT0026-2 IPC554_10.1, whole genome shotgun sequence"
"RXDK01000010.1 Pseudomonas aeruginosa strain AMT0026-1 IPC553_10.1, whole genome shotgun sequence"
"RXEC01000011.1 Pseudomonas aeruginosa strain AUS501 IPC444_11.1, whole genome shotgun sequence"
"RWLI01000003.1 Pseudomonas aeruginosa strain 13 IPC1595_3.1, whole genome shotgun sequence"
"RWMX01000010.1 Pseudomonas aeruginosa strain 4064321111 IPC1494_10.1, whole genome shotgun sequence"
"RWQA01000006.1 Pseudomonas aeruginosa strain PA-CL513 IPC607_6.1, whole genome shotgun sequence"
"RWUH01000007.1 Pseudomonas aeruginosa strain 272S250511BSL_PA1 IPC57_7.1, whole genome shotgun sequence"
"NSVK01000014.1 Pseudomonas aeruginosa strain AMT0071-76 IPC573_14.1, whole genome shotgun sequence"
"NSMV01000006.1 Pseudomonas aeruginosa strain AL191 IPC1350_6.1, whole genome shotgun sequence"
"NSOG01000004.1 Pseudomonas aeruginosa strain JYH18 IPC1229_4.1, whole genome shotgun sequence"
"NSRE01000011.1 Pseudomonas aeruginosa strain DUN-004 IPC1001_11.1, whole genome shotgun sequence"
"NSUQ01000012.1 Pseudomonas aeruginosa strain Mex2 IPC698_12.1, whole genome shotgun sequence"
"NSZA01000010.1 Pseudomonas aeruginosa strain AUS232 IPC258_10.1, whole genome shotgun sequence"
"RXBO01000011.1 Pseudomonas aeruginosa strain JYH29 IPC1240_11.1, whole genome shotgun sequence"
"RWUC01000015.1 Pseudomonas aeruginosa strain 293S080611BSL_PA1 IPC64_15.1, whole genome shotgun sequence"
"RWUB01000022.1 Pseudomonas aeruginosa strain 293S080611BSL_PA2 IPC65_22.1, whole genome shotgun sequence"
"RWUA01000019.1 Pseudomonas aeruginosa strain 295s071211BSL_PA1 IPC66_19.1, whole genome shotgun sequence"
"RXDY01000007.1 Pseudomonas aeruginosa strain AUS512 IPC449_7.1, whole genome shotgun sequence"
"NSOL01000018.1 Pseudomonas aeruginosa strain JYH8 IPC1219_18.1, whole genome shotgun sequence"
"RXBP01000011.1 Pseudomonas aeruginosa strain JYH25 IPC1236_11.1, whole genome shotgun sequence"
"RXET01000008.1 Pseudomonas aeruginosa strain AUS128 IPC371_8.1, whole genome shotgun sequence"
"RXFD01000011.1 Pseudomonas aeruginosa strain AUS227 IPC253_11.1, whole genome shotgun sequence"
"NSSW01000020.1 Pseudomonas aeruginosa strain Bo559 IPC867_20.1, whole genome shotgun sequence"
"NSSV01000014.1 Pseudomonas aeruginosa strain Cotonu1 IPC875_14.1, whole genome shotgun sequence"
"NSYO01000022.1 Pseudomonas aeruginosa strain AUS517 IPC288_22.1, whole genome shotgun sequence"
"NTAC01000026.1 Pseudomonas aeruginosa strain 1098 IPC98_26.1, whole genome shotgun sequence"
"RXCV01000019.1 Pseudomonas aeruginosa strain W15Apr4 IPC824_19.1, whole genome shotgun sequence"
"RXFL01000027.1 Pseudomonas aeruginosa strain Jp222 IPC751_26.1, whole genome shotgun sequence"
"NSNM01000011.1 Pseudomonas aeruginosa strain PA-W21 IPC1287_11.1, whole genome shotgun sequence"
"NSPL01000026.1 Pseudomonas aeruginosa strain B9(T2436) IPC1133_26.1, whole genome shotgun sequence"
"NSPM01000001.1 Pseudomonas aeruginosa strain A3(H638) IPC1125_1.1, whole genome shotgun sequence"
"NSTK01000012.1 Pseudomonas aeruginosa strain LiA133_2003 IPC776_12.1, whole genome shotgun sequence"
"NSTH01000001.1 Pseudomonas aeruginosa strain LiA179_2006 IPC785_1.1, whole genome shotgun sequence"
"NSYP01000019.1 Pseudomonas aeruginosa strain AUS471 IPC282_19.1, whole genome shotgun sequence"
"NTAL01000008.1 Pseudomonas aeruginosa strain PA-W34 IPC19_8.1, whole genome shotgun sequence"
"RXAT01000014.1 Pseudomonas aeruginosa strain PT12 IPC1387_14.1, whole genome shotgun sequence"
"NSNP01000021.1 Pseudomonas aeruginosa strain PA-W10 IPC1284_21.1, whole genome shotgun sequence"
"NSSU01000021.1 Pseudomonas aeruginosa strain LMG2107 IPC877_21.1, whole genome shotgun sequence"
"RXFH01000018.1 Pseudomonas aeruginosa strain AUS525 IPC246_18.1, whole genome shotgun sequence"
"NSNT01000017.1 Pseudomonas aeruginosa strain PA-W1 IPC1280_17.1, whole genome shotgun sequence"
"NSQX01000012.1 Pseudomonas aeruginosa strain 014-2A IPC1020_12.1, whole genome shotgun sequence"
"RXFE01000007.1 Pseudomonas aeruginosa strain AUS226 IPC252_7.1, whole genome shotgun sequence"
"NSTR01000013.1 Pseudomonas aeruginosa strain J80UH1OS1 IPC744_13.1, whole genome shotgun sequence"
"NTAD01000001.1 Pseudomonas aeruginosa strain 856 IPC97_1.1, whole genome shotgun sequence"
"RWLN01000011.1 Pseudomonas aeruginosa strain 8 IPC1590_11.1, whole genome shotgun sequence"
"RWZR01000010.1 Pseudomonas aeruginosa strain Zw73_1 IPC1439_10.1, whole genome shotgun sequence"
"NSZD01000012.1 Pseudomonas aeruginosa strain AUS217 IPC241_12.1, whole genome shotgun sequence"
"NSST01000019.1 Pseudomonas aeruginosa strain LMG5031 IPC878_19.1, whole genome shotgun sequence"
"NSXA01000013.1 Pseudomonas aeruginosa strain AUS483 IPC434_13.1, whole genome shotgun sequence"
